model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.7827,0.7827,0.0,0.0026,0.0026,0.7800999999999999,0.0,0.3027718665995053,,,,,,,0.7720176577568054,1.0032837390899658,loaded; baseline-no-defense,1766639347-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.7827,0.7827,0.0,0.0026,0.0026,0.7800999999999999,0.0,0.2770282708996092,,,,,,,0.7720176577568054,1.0032837390899658,loaded; baseline-no-defense,1766639367-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7153,-0.0673999999999999,0.0026,0.5682,0.7800999999999999,0.7250352518907833,4.359513475000859,,,,,,,0.7720176577568054,1.0032837390899658,loaded,1766639367-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.7827,0.7827,0.0,0.0026,0.0026,0.7800999999999999,0.0,0.2367796125006862,,,,,,,0.7720176577568054,1.0032837390899658,loaded; baseline-no-defense,1766639475-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.0026,0.5076,0.7800999999999999,0.6473529034739137,0.23925153330055762,,,,,,,0.7720176577568054,1.0032837390899658,loaded,1766639475-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.7827,0.7827,0.0,0.0026,0.0026,0.7800999999999999,0.0,0.23298137499950825,,,,,,,0.7720176577568054,1.0032837390899658,loaded; baseline-no-defense,1766639499-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.6892,-0.09349999999999992,0.0026,0.5001,0.7800999999999999,0.6377387514421229,0.23743556249974063,,,,,,,0.7720176577568054,1.0032837390899658,loaded,1766639499-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.7827,0.7827,0.0,0.0026,0.0026,0.7800999999999999,0.0,0.23581332500034477,,,,,,,0.7720176577568054,1.0032837390899658,loaded; baseline-no-defense,1766639524-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.7827,0.3267,-0.45599999999999996,0.0026,0.2408,0.7800999999999999,0.3053454685296757,0.24127003329922447,,,,,,,0.7720176577568054,1.0032837390899658,loaded,1766639524-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.7827,0.7827,0.0,0.7582,0.7582,0.024499999999999966,0.0,0.22804564580001171,,,,,,,,,loaded; baseline-no-defense,1766640874-34ede61
