model,attack,eps,defense,params,acc,acc_adv,clean_acc,clean_def_acc,clean_penalty,time_ms_per_img,commit,notes,split,device,tag,drop,recovery,run_id
ResNet18_STD,fgsm,0.015686,none,{},0.2371,0.2371,0.9346,0.9346,0.0,0.22948370000813156,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.6975,0.0,1765798943-7b6dd8d
ResNet18_STD,fgsm,0.031373,none,{},0.1773,0.1773,0.9346,0.9346,0.0,0.23312023340258747,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7573,0.0,1765798943-7b6dd8d
ResNet18_STD,fgsm,0.047059,none,{},0.151,0.151,0.9346,0.9346,0.0,0.23063725419342518,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7836,0.0,1765798943-7b6dd8d
ResNet18_STD,fgsm,0.015686,none,{},0.2371,0.2371,0.9346,0.9346,0.0,0.22895552080590278,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.6975,0.0,1765798967-7b6dd8d
ResNet18_STD,fgsm,0.015686,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.5014,0.2371,0.9346,0.7899,-0.14469999999999994,0.23100905830506235,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.6975,0.3789247311827957,1765798967-7b6dd8d
ResNet18_STD,fgsm,0.031373,none,{},0.1773,0.1773,0.9346,0.9346,0.0,0.22984597499016673,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7573,0.0,1765798967-7b6dd8d
ResNet18_STD,fgsm,0.031373,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.4074,0.1773,0.9346,0.7899,-0.14469999999999994,0.22999140419997274,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.7573,0.30384259870592895,1765798967-7b6dd8d
ResNet18_STD,fgsm,0.047059,none,{},0.151,0.151,0.9346,0.9346,0.0,0.22967738748993724,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7836,0.0,1765798967-7b6dd8d
ResNet18_STD,fgsm,0.047059,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.3691,0.151,0.9346,0.7899,-0.14469999999999994,0.23023496659006926,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.7836,0.27833078101071973,1765798967-7b6dd8d
ResNet18_STD,fgsm,0.015686,none,{},0.2371,0.2371,0.9346,0.9346,0.0,0.2274646082893014,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.6975,0.0,1765799005-7b6dd8d
ResNet18_STD,fgsm,0.015686,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.579,0.2371,0.9346,0.8075,-0.1271,4.352760320808739,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.6975,0.490179211469534,1765799005-7b6dd8d
ResNet18_STD,fgsm,0.031373,none,{},0.1773,0.1773,0.9346,0.9346,0.0,0.229518370795995,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7573,0.0,1765799005-7b6dd8d
ResNet18_STD,fgsm,0.031373,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.4158,0.1773,0.9346,0.8075,-0.1271,4.350225541600958,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.7573,0.31493463620757955,1765799005-7b6dd8d
ResNet18_STD,fgsm,0.047059,none,{},0.151,0.151,0.9346,0.9346,0.0,0.22925900418777018,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7836,0.0,1765799005-7b6dd8d
ResNet18_STD,fgsm,0.047059,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.3177,0.151,0.9346,0.8075,-0.1271,4.346528674988076,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.7836,0.212736089841756,1765799005-7b6dd8d
ResNet18_STD,fgsm,0.015686,none,{},0.2371,0.2371,0.9346,0.9346,0.0,0.2275390832917765,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.6975,0.0,1765799291-7b6dd8d
ResNet18_STD,fgsm,0.015686,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.4912,0.2371,0.9346,0.6002,-0.33440000000000003,0.23539783749729393,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.6975,0.36430107526881716,1765799291-7b6dd8d
ResNet18_STD,fgsm,0.031373,none,{},0.1773,0.1773,0.9346,0.9346,0.0,0.2296679541002959,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7573,0.0,1765799291-7b6dd8d
ResNet18_STD,fgsm,0.031373,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.4208,0.1773,0.9346,0.6002,-0.33440000000000003,0.23223688749130814,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.7573,0.3215370394823716,1765799291-7b6dd8d
ResNet18_STD,fgsm,0.047059,none,{},0.151,0.151,0.9346,0.9346,0.0,0.22973779579624534,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,baseline-no-defense,test,mps,std,0.7836,0.0,1765799291-7b6dd8d
ResNet18_STD,fgsm,0.047059,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.3741,0.151,0.9346,0.6002,-0.33440000000000003,0.23241441659629344,7b6dd8db7a5b6eb62a22b54aa1ae9e167340ea00,,test,mps,std,0.7836,0.28471158754466563,1765799291-7b6dd8d
