model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.9346,0.9346,0.0,0.2371,0.2371,0.6975,0.0,0.22806232919974717,,,,,,,,,loaded; baseline-no-defense,1766637774-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.9346,0.9346,0.0,0.1773,0.1773,0.7573,0.0,0.22958888330031185,,,,,,,,,loaded; baseline-no-defense,1766637774-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.9346,0.9346,0.0,0.151,0.151,0.7836,0.0,0.2293871792004211,,,,,,,,,loaded; baseline-no-defense,1766637774-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.9346,0.9346,0.0,0.2371,0.2371,0.6975,0.0,0.228865545798908,,,,,,,,,loaded; baseline-no-defense,1766637798-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.2371,0.579,0.6975,0.490179211469534,4.343906362500275,,,,,,,,,loaded,1766637798-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.9346,0.9346,0.0,0.1773,0.1773,0.7573,0.0,0.22986672499973793,,,,,,,,,loaded; baseline-no-defense,1766637798-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.1773,0.4159,0.7573,0.3150666842730754,4.340949508298944,,,,,,,,,loaded,1766637798-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.9346,0.9346,0.0,0.151,0.151,0.7836,0.0,0.2298939666012302,,,,,,,,,loaded; baseline-no-defense,1766637798-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.151,0.3177,0.7836,0.212736089841756,4.348292237499845,,,,,,,,,loaded,1766637798-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.9346,0.9346,0.0,0.2371,0.2371,0.6975,0.0,0.22801088749984047,,,,,,,,,loaded; baseline-no-defense,1766638084-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.2371,0.5014,0.6975,0.3789247311827957,0.23098628750012723,,,,,,,,,loaded,1766638084-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.9346,0.9346,0.0,0.1773,0.1773,0.7573,0.0,0.23000694590009516,,,,,,,,,loaded; baseline-no-defense,1766638084-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.1773,0.4074,0.7573,0.30384259870592895,0.23017612919938985,,,,,,,,,loaded,1766638084-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.9346,0.9346,0.0,0.151,0.151,0.7836,0.0,0.22991386670037173,,,,,,,,,loaded; baseline-no-defense,1766638084-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.151,0.3691,0.7836,0.27833078101071973,0.23049430419923736,,,,,,,,,loaded,1766638084-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.9346,0.9346,0.0,0.2371,0.2371,0.6975,0.0,0.22802755830052776,,,,,,,,,loaded; baseline-no-defense,1766638122-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.2371,0.5062,0.6975,0.3858064516129032,0.23112849999888568,,,,,,,,,loaded,1766638122-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.9346,0.9346,0.0,0.1773,0.1773,0.7573,0.0,0.22983619580045345,,,,,,,,,loaded; baseline-no-defense,1766638122-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.1773,0.4228,0.7573,0.3241780007922884,0.23034228750038893,,,,,,,,,loaded,1766638122-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.9346,0.9346,0.0,0.151,0.151,0.7836,0.0,0.22977657909941626,,,,,,,,,loaded; baseline-no-defense,1766638122-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.151,0.3834,0.7836,0.296579887697805,0.2304267666011583,,,,,,,,,loaded,1766638122-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.9346,0.9346,0.0,0.2371,0.2371,0.6975,0.0,0.22795871249982158,,,,,,,,,loaded; baseline-no-defense,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.2371,0.4912,0.6975,0.36430107526881716,0.23439606659958373,,,,,,,,,loaded,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.9346,0.9346,0.0,0.1773,0.1773,0.7573,0.0,0.2297243791996152,,,,,,,,,loaded; baseline-no-defense,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.1773,0.4209,0.7573,0.32166908754786744,0.23256291249999778,,,,,,,,,loaded,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.9346,0.9346,0.0,0.151,0.151,0.7836,0.0,0.28085861659928923,,,,,,,,,loaded; baseline-no-defense,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.151,0.3741,0.7836,0.28471158754466563,0.28788867499970366,,,,,,,,,loaded,1766638160-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,none,{},0.9346,0.9346,0.0,0.0023,0.0023,0.9323,0.0,0.25045644580095544,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638200-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.24977262079919454,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638200-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.2500937042001169,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638200-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,none,{},0.9346,0.9346,0.0,0.0023,0.0023,0.9323,0.0,0.3155581625003833,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638226-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.015686,4,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.0023,0.4536,0.9323,0.48407165075619435,0.3038907874986762,20,2.0,1,,,,,,loaded,1766638226-34ede61
